0,Sprite - 355 Ml,106.22
0,Ham - Cooked Italian,179.74
0,Soup - French Onion,128.4
0,Lamb - Leg, 126.85
0,Onion Powder,183.25
0,Wine - White,92.02
0,Grapefruit - Pink,140.58
0,Chocolate - Dark,146.24
0,Appetizer - Shrimp Puff,151.49
0,Soup - Base Broth Beef,92.77
0,Sherry - Dry,187.14
0,Bread - Raisin,89.25
0,Cinnamon - Ground,111.21
0,Jam - Raspberry,59.46
0,Peas - Pigeon, 92.04
0,Wine - Masi Valpolocell,184.89
0,Ezy Change Mophandle,116.8
0,Cookie Dough - Chocolate Chip,19.1
0,Coffee - Frthy Coffee Crisp,19.58
0,Garlic Powder,197.03
