5,1,14
12,6,18
18,2,17
18,2,19
3,13,10
17,14,14
10,16,5
4,11,4
13,3,14
20,15,19
12,11,13
12,7,17
2,7,1
15,5,18
7,17,4
11,9,16
18,20,12
9,12,12
13,9,18
13,3,12
11,9,11
9,5,3
12,18,6
20,16,3
14,14,11
6,20,10
10,5,20
1,19,2
15,2,16
9,10,4
13,9,6
19,18,3
4,18,15
20,2,9
11,6,1
5,18,11
1,4,17
1,18,19
5,11,13
7,1,1
10,3,8
1,20,16
3,16,17
14,15,2
14,3,17
16,12,4
3,12,13
1,2,18
12,10,4
8,9,15
10,4,17
2,10,16
10,10,12
18,5,3
19,20,19
1,17,10
7,19,18
16,9,7
17,2,15
7,10,18
19,18,18
9,15,14
7,17,6
2,14,2
19,18,1
12,15,15
2,5,20
1,15,16
16,20,8
19,16,4
4,17,13
5,16,17
16,16,10
17,14,4
3,13,15
4,12,5
17,13,8
18,9,2
8,14,5
19,16,18
1,4,9
1,20,17
4,12,17
6,20,2
12,4,14
11,11,4
2,17,16
1,14,5
13,7,6
8,9,9
10,17,8
5,1,18
14,10,13
13,12,1
20,6,3
10,2,10
2,20,10
13,1,10
14,4,8
13,19,20
